merged_log_run_id=20260217_082339
[ml_system.log] 2026-02-17 08:25:00,471 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1101 degree=2 alpha=0.0 val_mse=0.003356
[system_20260217_082339.log] 2026-02-17 08:25:00,441 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1101 degree=2 alpha=0.0 val_mse=0.002093
[system_20260217_082339.log] 2026-02-17 08:25:00,442 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1051 degree=2 alpha=0.0 val_mse=0.002347
[system_20260217_082339.log] 2026-02-17 08:25:00,446 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1101 degree=2 alpha=0.0 val_mse=0.001699
[system_20260217_082339.log] 2026-02-17 08:25:00,464 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1101 degree=2 alpha=0.0 val_mse=0.002552
[system_20260217_082339.log] 2026-02-17 08:25:00,471 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1101 degree=2 alpha=0.0 val_mse=0.003356
[ml_system.log] 2026-02-17 08:25:20,604 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1301 degree=2 alpha=0.0 val_mse=0.002048
[ml_system.log] 2026-02-17 08:25:20,605 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1251 degree=2 alpha=0.0 val_mse=0.002179
[ml_system.log] 2026-02-17 08:25:20,618 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1301 degree=2 alpha=0.0 val_mse=0.002307
[ml_system.log] 2026-02-17 08:25:20,662 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1301 degree=2 alpha=0.0 val_mse=0.002547
[ml_system.log] 2026-02-17 08:25:20,662 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1301 degree=2 alpha=0.0 val_mse=0.002486
[system_20260217_082339.log] 2026-02-17 08:25:20,604 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1301 degree=2 alpha=0.0 val_mse=0.002048
[system_20260217_082339.log] 2026-02-17 08:25:20,605 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1251 degree=2 alpha=0.0 val_mse=0.002179
[system_20260217_082339.log] 2026-02-17 08:25:20,618 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1301 degree=2 alpha=0.0 val_mse=0.002307
[system_20260217_082339.log] 2026-02-17 08:25:20,662 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1301 degree=2 alpha=0.0 val_mse=0.002547
[system_20260217_082339.log] 2026-02-17 08:25:20,662 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1301 degree=2 alpha=0.0 val_mse=0.002486
[ml_system.log] 2026-02-17 08:25:40,820 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1501 degree=2 alpha=0.0 val_mse=0.001937
[ml_system.log] 2026-02-17 08:25:40,839 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1501 degree=2 alpha=0.0 val_mse=0.001638
[ml_system.log] 2026-02-17 08:25:40,859 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1501 degree=2 alpha=0.0 val_mse=0.001886
[ml_system.log] 2026-02-17 08:25:40,860 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1451 degree=2 alpha=0.0 val_mse=0.001601
[ml_system.log] 2026-02-17 08:25:40,860 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1501 degree=2 alpha=0.0 val_mse=0.001895
[system_20260217_082339.log] 2026-02-17 08:25:40,820 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1501 degree=2 alpha=0.0 val_mse=0.001937
[system_20260217_082339.log] 2026-02-17 08:25:40,839 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1501 degree=2 alpha=0.0 val_mse=0.001638
[system_20260217_082339.log] 2026-02-17 08:25:40,859 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1501 degree=2 alpha=0.0 val_mse=0.001886
[system_20260217_082339.log] 2026-02-17 08:25:40,860 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1451 degree=2 alpha=0.0 val_mse=0.001601
[system_20260217_082339.log] 2026-02-17 08:25:40,860 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1501 degree=2 alpha=0.0 val_mse=0.001895
[ml_system.log] 2026-02-17 08:26:01,002 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1701 degree=2 alpha=0.0 val_mse=0.001090
[ml_system.log] 2026-02-17 08:26:01,011 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1701 degree=2 alpha=0.0 val_mse=0.001431
[ml_system.log] 2026-02-17 08:26:01,028 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1701 degree=2 alpha=0.0 val_mse=0.001334
[ml_system.log] 2026-02-17 08:26:01,028 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1701 degree=2 alpha=0.0 val_mse=0.001513
[ml_system.log] 2026-02-17 08:26:01,028 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1651 degree=2 alpha=0.0 val_mse=0.001119
[system_20260217_082339.log] 2026-02-17 08:26:01,002 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1701 degree=2 alpha=0.0 val_mse=0.001090
[system_20260217_082339.log] 2026-02-17 08:26:01,011 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1701 degree=2 alpha=0.0 val_mse=0.001431
[system_20260217_082339.log] 2026-02-17 08:26:01,028 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1701 degree=2 alpha=0.0 val_mse=0.001334
[system_20260217_082339.log] 2026-02-17 08:26:01,028 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1701 degree=2 alpha=0.0 val_mse=0.001513
[system_20260217_082339.log] 2026-02-17 08:26:01,028 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1651 degree=2 alpha=0.0 val_mse=0.001119
[ml_system.log] 2026-02-17 08:26:21,169 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1901 degree=2 alpha=0.0 val_mse=0.001027
[ml_system.log] 2026-02-17 08:26:21,182 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1851 degree=2 alpha=0.0 val_mse=0.000816
[ml_system.log] 2026-02-17 08:26:21,191 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1901 degree=2 alpha=0.0 val_mse=0.001140
[system_20260217_082339.log] 2026-02-17 08:26:21,169 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=1901 degree=2 alpha=0.0 val_mse=0.000807
[system_20260217_082339.log] 2026-02-17 08:26:21,169 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=1901 degree=2 alpha=0.0 val_mse=0.001027
[system_20260217_082339.log] 2026-02-17 08:26:21,182 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=1901 degree=2 alpha=0.0 val_mse=0.000972
[system_20260217_082339.log] 2026-02-17 08:26:21,182 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=1851 degree=2 alpha=0.0 val_mse=0.000816
[system_20260217_082339.log] 2026-02-17 08:26:21,191 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=1901 degree=2 alpha=0.0 val_mse=0.001140
[ml_system.log] 2026-02-17 08:26:41,356 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=2101 degree=2 alpha=0.0 val_mse=0.000665
[ml_system.log] 2026-02-17 08:26:41,356 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=2101 degree=2 alpha=0.0 val_mse=0.000758
[ml_system.log] 2026-02-17 08:26:41,391 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=2101 degree=2 alpha=0.0 val_mse=0.000862
[ml_system.log] 2026-02-17 08:26:41,391 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=2051 degree=2 alpha=0.0 val_mse=0.000646
[ml_system.log] 2026-02-17 08:26:41,391 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=2101 degree=2 alpha=0.0 val_mse=0.000763
[system_20260217_082339.log] 2026-02-17 08:26:41,356 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=2101 degree=2 alpha=0.0 val_mse=0.000665
[system_20260217_082339.log] 2026-02-17 08:26:41,356 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=2101 degree=2 alpha=0.0 val_mse=0.000758
[system_20260217_082339.log] 2026-02-17 08:26:41,391 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=2101 degree=2 alpha=0.0 val_mse=0.000862
[system_20260217_082339.log] 2026-02-17 08:26:41,391 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=2051 degree=2 alpha=0.0 val_mse=0.000646
[system_20260217_082339.log] 2026-02-17 08:26:41,391 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=2101 degree=2 alpha=0.0 val_mse=0.000763
[swarm_manager.log] 2026-02-17 08:26:59,816 - SwarmManager - INFO - MISSION_COMPLETE: Drone 2 reached destination (x=2553.9, y=2622.8, z=60.0)
[swarm_manager.log] 2026-02-17 08:26:59,817 - SwarmManager - INFO - MISSION_COMPLETE received from Drone 2 target={'x': 2553.9057647468726, 'y': 2622.797543233282, 'z': 60.0} -> leader broadcasting RETURN_TO_HOME
[swarm_manager.log] 2026-02-17 08:26:59,817 - SwarmManager - INFO - Leader command received: RETURN_TO_HOME by drone=1
[system_20260217_082339.log] 2026-02-17 08:26:59,815 - DroneStateManager - INFO - Drone 2 state transition MOVING_TO_TARGET -> MISSION_COMPLETE
[system_20260217_082339.log] 2026-02-17 08:26:59,818 - Drone_1 - INFO - Drone 1: Returning to home - Leader broadcast RETURN_TO_HOME
[system_20260217_082339.log] 2026-02-17 08:26:59,818 - DroneStateManager - INFO - Drone 1 state transition MOVING_TO_TARGET -> RETURNING_HOME
[system_20260217_082339.log] 2026-02-17 08:26:59,819 - Drone_2 - INFO - Drone 2: Returning to home - Leader broadcast RETURN_TO_HOME
[system_20260217_082339.log] 2026-02-17 08:26:59,819 - DroneStateManager - INFO - Drone 2 state transition MISSION_COMPLETE -> RETURNING_HOME
[system_20260217_082339.log] 2026-02-17 08:26:59,820 - Drone_3 - INFO - Drone 3: Returning to home - Leader broadcast RETURN_TO_HOME
[system_20260217_082339.log] 2026-02-17 08:26:59,820 - DroneStateManager - INFO - Drone 3 state transition MOVING_TO_TARGET -> RETURNING_HOME
[system_20260217_082339.log] 2026-02-17 08:26:59,821 - Drone_4 - INFO - Drone 4: Returning to home - Leader broadcast RETURN_TO_HOME
[system_20260217_082339.log] 2026-02-17 08:26:59,821 - DroneStateManager - INFO - Drone 4 state transition MOVING_TO_TARGET -> RETURNING_HOME
[system_20260217_082339.log] 2026-02-17 08:26:59,822 - Drone_5 - INFO - Drone 5: Returning to home - Leader broadcast RETURN_TO_HOME
[system_20260217_082339.log] 2026-02-17 08:26:59,822 - DroneStateManager - INFO - Drone 5 state transition MOVING_TO_TARGET -> RETURNING_HOME
[ml_system.log] 2026-02-17 08:27:01,567 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=2301 degree=2 alpha=1.0 val_mse=0.012420
[ml_system.log] 2026-02-17 08:27:01,568 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=2301 degree=2 alpha=1.0 val_mse=0.026032
[ml_system.log] 2026-02-17 08:27:01,568 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=2301 degree=2 alpha=1.0 val_mse=0.020888
[ml_system.log] 2026-02-17 08:27:01,571 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=2251 degree=2 alpha=1.0 val_mse=0.024725
[ml_system.log] 2026-02-17 08:27:01,575 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=2301 degree=2 alpha=1.0 val_mse=0.017106
[system_20260217_082339.log] 2026-02-17 08:27:01,567 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=2301 degree=2 alpha=1.0 val_mse=0.012420
[system_20260217_082339.log] 2026-02-17 08:27:01,568 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=2301 degree=2 alpha=1.0 val_mse=0.026032
[system_20260217_082339.log] 2026-02-17 08:27:01,568 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=2301 degree=2 alpha=1.0 val_mse=0.020888
[system_20260217_082339.log] 2026-02-17 08:27:01,571 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=2251 degree=2 alpha=1.0 val_mse=0.024725
[system_20260217_082339.log] 2026-02-17 08:27:01,575 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=2301 degree=2 alpha=1.0 val_mse=0.017106
[ml_system.log] 2026-02-17 08:27:21,752 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=2501 degree=2 alpha=1.0 val_mse=0.119907
[ml_system.log] 2026-02-17 08:27:21,775 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=2451 degree=2 alpha=1.0 val_mse=0.255027
[ml_system.log] 2026-02-17 08:27:21,777 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=2501 degree=2 alpha=1.0 val_mse=0.167922
[ml_system.log] 2026-02-17 08:27:21,778 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=2501 degree=2 alpha=1.0 val_mse=0.213499
[ml_system.log] 2026-02-17 08:27:21,778 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=2501 degree=2 alpha=1.0 val_mse=0.263469
[system_20260217_082339.log] 2026-02-17 08:27:21,752 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=2501 degree=2 alpha=1.0 val_mse=0.119907
[system_20260217_082339.log] 2026-02-17 08:27:21,775 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=2451 degree=2 alpha=1.0 val_mse=0.255027
[system_20260217_082339.log] 2026-02-17 08:27:21,777 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=2501 degree=2 alpha=1.0 val_mse=0.167922
[system_20260217_082339.log] 2026-02-17 08:27:21,778 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=2501 degree=2 alpha=1.0 val_mse=0.213499
[system_20260217_082339.log] 2026-02-17 08:27:21,778 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=2501 degree=2 alpha=1.0 val_mse=0.263469
[ml_system.log] 2026-02-17 08:27:41,922 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=2701 degree=2 alpha=1.0 val_mse=0.196878
[ml_system.log] 2026-02-17 08:27:41,959 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=2701 degree=2 alpha=1.0 val_mse=0.276999
[ml_system.log] 2026-02-17 08:27:42,003 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=2651 degree=2 alpha=1.0 val_mse=0.430112
[ml_system.log] 2026-02-17 08:27:42,003 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=2701 degree=2 alpha=1.0 val_mse=0.440733
[system_20260217_082339.log] 2026-02-17 08:27:41,922 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=2701 degree=2 alpha=1.0 val_mse=0.196878
[system_20260217_082339.log] 2026-02-17 08:27:41,959 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=2701 degree=2 alpha=1.0 val_mse=0.276999
[system_20260217_082339.log] 2026-02-17 08:27:42,003 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=2701 degree=2 alpha=1.0 val_mse=0.358921
[system_20260217_082339.log] 2026-02-17 08:27:42,003 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=2651 degree=2 alpha=1.0 val_mse=0.430112
[system_20260217_082339.log] 2026-02-17 08:27:42,003 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=2701 degree=2 alpha=1.0 val_mse=0.440733
